country,region,subregion
Trinidad and Tobago,Americas,Caribbean
Belize,Americas,Central America
Costa Rica,Americas,Central America
El Salvador,Americas,Central America
Guatemala,Americas,Central America
Honduras,Americas,Central America
Nicaragua,Americas,Central America
Panama,Americas,Central America
Argentina,Americas,South America
Bolivia,Americas,South America
Brazil,Americas,South America
Chile,Americas,South America
Colombia,Americas,South America
Ecuador,Americas,South America
Guyana,Americas,South America
Paraguay,Americas,South America
Peru,Americas,South America
Suriname,Americas,South America
Uruguay,Americas,South America
Venezuela,Americas,South America
Algeria,Africa,North Africa
Egypt,Africa,North Africa
Libya,Africa,North Africa
Mauritania,Africa,North Africa
Morocco,Africa,North Africa
Sudan,Africa,North Africa
Tunisia,Africa,North Africa
Angola,Africa,Sub-Saharan Africa
Benin,Africa,Sub-Saharan Africa
Botswana,Africa,Sub-Saharan Africa
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cabo Verde,Africa,Sub-Saharan Africa
Cameroon,Africa,Sub-Saharan Africa
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Comoros,Africa,Sub-Saharan Africa
Congo,Africa,Sub-Saharan Africa
Cote d'Ivoire,Africa,Sub-Saharan Africa
Democratic Republic of the Congo,Africa,Sub-Saharan Africa
Djibouti,Africa,Sub-Saharan Africa
Equatorial Guinea,Africa,Sub-Saharan Africa
Eritrea,Africa,Sub-Saharan Africa
Eswatini,Africa,Sub-Saharan Africa
Ethiopia,Africa,Sub-Saharan Africa
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Ghana,Africa,Sub-Saharan Africa
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Kenya,Africa,Sub-Saharan Africa
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Mali,Africa,Sub-Saharan Africa
Mozambique,Africa,Sub-Saharan Africa
Namibia,Africa,Sub-Saharan Africa
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
Reunion,Africa,Sub-Saharan Africa
Rwanda,Africa,Sub-Saharan Africa
Sao Tome and Principe,Africa,Sub-Saharan Africa
Senegal,Africa,Sub-Saharan Africa
Seychelles,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
South Africa,Africa,Sub-Saharan Africa
Togo,Africa,Sub-Saharan Africa
Uganda,Africa,Sub-Saharan Africa
United Republic of Tanzania,Africa,Sub-Saharan Africa
Zambia,Africa,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
Bahrain,Middle East,West Asia
Iran (Islamic Republic of),Middle East,West Asia
Iraq,Middle East,West Asia
Israel,Middle East,West Asia
Jordan,Middle East,West Asia
Kuwait,Middle East,West Asia
Lebanon,Middle East,West Asia
Oman,Middle East,West Asia
Qatar,Middle East,West Asia
Saudi Arabia,Middle East,West Asia
Syrian Arab Republic,Middle East,West Asia
United Arab Emirates,Middle East,West Asia
Yemen,Middle East,West Asia
